day,osr,asr,psr,preference,ornaments,femalePC,malePC,female_care,female_mate,female_pre,female_juv,male_care,male_mate,male_pre,male_juv,pop_size
0,0.5,0.5,0.5,0,0,10,9.99902,0,1000,0,0,0,1000,0,0,2000
1,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
2,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
3,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
4,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
5,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
6,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
7,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
8,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
9,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
10,1,0.501776,0.544118,0,0,10,9.99902,982,0,0,31,988,1,0,37,2039
11,0.501776,0.501776,0.544118,0,0,10.0005,9.99903,0,982,0,31,0,989,0,37,2039
12,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
13,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
14,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
15,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
16,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
17,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
18,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
19,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
20,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
21,1,0.500516,0.557377,0,0,10.0005,9.99903,968,0,0,54,961,9,0,68,2060
22,0.500516,0.500516,0.557377,0,0,10.0005,9.99905,0,968,0,54,0,970,0,68,2060
23,1,0.500521,0.549223,0,0,10.0005,9.99905,958,0,0,87,959,1,0,106,2111
24,1,0.500521,0.549223,0,0,10.0005,9.99905,958,0,0,87,959,1,0,106,2111
25,1,0.500521,0.549223,0,0,10.0005,9.99905,958,0,0,87,959,1,0,106,2111
